,Image,Response,Time
114,HBG328.JPG,"[3, 4]",4.96
,,,
115,HBG436.JPG,"[1, 3, 4]",3.089
,,,
116,HBG446.JPG,"[1, 2, 3, 4]",3.515
,,,
117,HBY31.JPG,"[1, 3]",3.099
,,,
118,HBY160.JPG,"[1, 2, 3, 4]",2.967
,,,
119,HBG507.JPG,"[1, 2, 3]",3.37
,,,
120,HBG5.JPG,[2],3.294
,,,
121,HBY149.JPG,"[1, 3, 4]",3.069
,,,
122,HBY90.JPG,"[1, 2, 3, 4]",4.084
,,,
123,HBR22.JPG,"[2, 3]",3.035
,,,
124,HBG394.JPG,"[1, 2]",2.034
,,,
125,HBY167.JPG,"[1, 2, 3]",3.657
,,,
126,BR18.JPG,"[1, 2, 3]",3.047
,,,
127,HBY147.JPG,"[1, 2, 4]",4.312
,,,
128,HBG33.JPG,"[1, 2, 3]",4.459
,,,
129,HBY57.JPG,"[1, 2, 3, 4]",13.501
,,,
130,HBY3.JPG,[2],3.361
,,,
131,HBY34.JPG,"[1, 2, 3]",2.047
,,,
132,HBG292.JPG,[2],9.521
,,,
133,HBY153.JPG,"[3, 4]",5.412
,,,
134,HBG197.JPG,[2],4.373
,,,
135,HBY48.JPG,"[1, 2]",2.243
,,,
136,HBG290.JPG,"[1, 2]",2.307
,,,
137,HBY140.JPG,"[1, 2, 3, 4]",3.339
,,,
138,HBG447.JPG,"[1, 3, 4]",3.644
,,,
139,HBG488.JPG,"[1, 2, 3, 4]",3.829
,,,
140,HBG378.JPG,"[1, 3, 4]",3.38
,,,
141,HBG448.JPG,"[1, 2, 3]",2.712
,,,
142,HBY174.JPG,"[1, 2, 3, 4]",4.686
,,,
143,HBY144.JPG,"[2, 3, 4]",3.919
,,,
144,HBG133.JPG,[2],6.121
,,,
145,HBR34.JPG,"[2, 3, 4]",2.921
,,,
146,HBY35.JPG,"[1, 2, 3]",2.148
,,,
147,HBY99.JPG,"[1, 2]",1.814
,,,
148,HBY85.JPG,"[1, 2]",2.176
,,,
149,HBG420.JPG,"[3, 4]",3.951
,,,
150,HBY27.JPG,"[1, 4]",14.914
,,,
151,HBG510.JPG,"[1, 2]",3.634
,,,
152,HBR26.JPG,[2],2.778
,,,
153,HBG74.JPG,"[1, 2]",3.474
,,,
154,HBG69.JPG,"[3, 4]",2.505
,,,
155,HBG28.JPG,"[1, 2]",5.402
,,,
156,HBY47.JPG,"[1, 2, 3, 4]",3.119
,,,
157,HBG483.JPG,[3],6.043
,,,
158,HBY43.JPG,"[1, 2, 4]",2.182
,,,
159,HBR23.JPG,"[2, 3]",2.186
,,,
160,HBY145.JPG,"[1, 2, 3]",2.232
,,,
161,HBG53.JPG,"[1, 4]",2.742
,,,
162,HBY168.JPG,"[1, 4]",3.639
,,,
163,HBY25.JPG,"[1, 2, 3, 4]",3.956
,,,
164,HBY56.JPG,"[1, 2]",5.647
,,,
165,HBY175.JPG,"[1, 2, 3]",4.926
,,,
166,HBG431.JPG,"[2, 3]",2.179
,,,
167,HBY58.JPG,"[1, 2]",3.099
,,,
168,HBY119.JPG,[2],6.032
,,,
169,HBG195.JPG,"[2, 3]",3.273
,,,
170,HBY115.JPG,"[1, 4]",2.856
,,,
171,HBY101.JPG,"[1, 2, 3, 4]",3.123
,,,
172,HBR27.JPG,"[1, 2, 3, 4]",3.007
,,,
173,HBG310.JPG,"[1, 2, 4]",3.27
,,,
174,HBY128.JPG,"[1, 2, 3, 4]",3.102
,,,
175,HBG175.JPG,"[2, 3]",1.767
,,,
176,HBG66.JPG,"[2, 3, 4]",2.271
,,,
177,HBY137.JPG,"[2, 3, 4]",2.674
,,,
178,HBY55.JPG,"[2, 3]",4.91
,,,
179,HBY127.JPG,"[1, 2, 3]",2.57
,,,
180,HBY52.JPG,"[1, 2, 3]",2.205
,,,
181,HBY20.JPG,"[1, 2, 3, 4]",5.558
,,,
182,HBG88.JPG,"[1, 3, 4]",3.738
,,,
183,HBY122.JPG,"[1, 2, 3, 4]",4.663
,,,
184,HBG430.JPG,"[3, 4]",6.695
,,,
185,HBG10.JPG,"[1, 2]",3.827
,,,
186,HBY29.JPG,"[1, 2]",2.844
,,,
187,HBR33.JPG,"[3, 4]",1.929
,,,
188,HBG104.JPG,"[1, 4]",2.377
,,,
189,HBG425.JPG,"[1, 2]",3.602
,,,
190,HBY133.JPG,"[1, 2]",2.078
,,,
191,HBG174.JPG,"[1, 2, 3, 4]",3.057
,,,
192,HBG380.JPG,"[3, 4]",1.83
,,,
193,HBY107.JPG,"[1, 2, 3, 4]",3.885
,,,
194,HBG169.JPG,"[1, 2]",1.809
,,,
195,HBG55.JPG,"[1, 2, 3, 4]",5.096
,,,
196,HBY13.JPG,"[1, 2, 3, 4]",2.636
,,,
197,HBY30.JPG,"[1, 2]",1.959
,,,
198,HBY163.JPG,"[1, 2, 3, 4]",2.823
,,,
199,HBY176.JPG,"[1, 2, 3, 4]",2.601
