,Image,Response,Time,Q1 Label,Q2 Label,Q3 Label,Q4 Label
126,HBG17.JPG,"[1, 2, 3]",3.116,Hit,Hit,False alarm,Correct rejection
127,HBG39.JPG,[4],11.418,Miss,Correct rejection,Correct rejection,Hit
128,HBG507.JPG,"[1, 2, 3, 4]",4.120,Hit,Hit,Hit,False alarm
129,HBY99.JPG,"[1, 2]",4.615,Hit,Hit,Correct rejection,Correct rejection
130,HBG430.JPG,"[3, 4]",3.212,Correct rejection,Correct rejection,Hit,Hit
131,HBY176.JPG,"[1, 2, 3, 4]",3.519,Hit,Hit,Hit,Hit
132,HBY30.JPG,"[1, 2, 3]",5.629,Hit,Hit,False alarm,Correct rejection
133,HBR29.JPG,[1],4.810,Hit,Miss,Correct rejection,Correct rejection
134,HBG502.JPG,"[2, 3]",10.630,Miss,Hit,Hit,Correct rejection
135,HBY108.JPG,"[1, 2, 3, 4]",2.821,Hit,False alarm,False alarm,Hit
136,HBY174.JPG,"[1, 2, 3]",4.217,Hit,Hit,Hit,Miss
137,HBG169.JPG,"[1, 2]",4.014,Hit,Hit,Correct rejection,Correct rejection
138,HBY13.JPG,"[1, 2, 3, 4]",5.927,Hit,Hit,Hit,Hit
139,HBY154.JPG,"[3, 4]",6.416,Miss,Miss,Hit,Hit
140,HBY29.JPG,"[1, 2, 3, 4]",5.424,Hit,Hit,False alarm,False alarm
141,HBY153.JPG,"[3, 4]",4.513,Correct rejection,Correct rejection,Hit,Hit
142,HBG60.JPG,[3],5.012,Correct rejection,Correct rejection,Hit,Correct rejection
143,HBR13.JPG,"[1, 2, 3, 4]",3.923,Hit,Hit,Hit,Hit
144,HBY47.JPG,"[1, 2, 3, 4]",3.223,Hit,Hit,Hit,Hit
145,HBG6.JPG,"[2, 4]",5.425,Correct rejection,Hit,Correct rejection,Hit
146,HBY14.JPG,"[1, 2, 3, 4]",3.020,Hit,False alarm,False alarm,Hit
147,HBY159.JPG,"[1, 2, 3, 4]",3.721,Hit,Hit,Hit,Hit
148,HBY55.JPG,"[1, 2, 4]",5.321,False alarm,Hit,Miss,False alarm
149,HBG275.JPG,"[1, 2]",4.722,Hit,False alarm,Correct rejection,Correct rejection
150,HBG292.JPG,[4],5.520,Correct rejection,Miss,Correct rejection,False alarm
151,HBG380.JPG,"[2, 3, 4]",4.017,Correct rejection,False alarm,Hit,Hit
152,HBG216.JPG,"[1, 2, 3, 4]",2.319,Hit,Hit,Hit,Hit
153,HBG88.JPG,"[1, 2, 3, 4]",4.023,Hit,False alarm,Hit,Hit
154,HBY5.JPG,"[1, 2, 3]",4.830,Hit,Hit,Hit,Correct rejection
155,HBG44.JPG,"[1, 4]",2.512,Hit,Correct rejection,Correct rejection,Hit
