,Image,Response,Time,Q1 Label,Q2 Label,Q3 Label,Q4 Label
177,HBR2.JPG,"[1, 2, 3]",3.425,Hit,Hit,Hit,Correct rejection
178,HBG113.JPG,"[1, 3, 4]",6.323,False alarm,Correct rejection,Hit,Hit
179,HB126.JPG,"[1, 3, 4]",6.923,Hit,Correct rejection,Hit,Hit
180,HBG134.JPG,"[1, 2, 3, 4]",5.427,Hit,False alarm,Hit,False alarm
181,HBG488.JPG,"[3, 4]",2.811,Miss,Miss,Hit,Hit
182,HBG96.JPG,"[1, 2, 3]",5.521,Hit,Hit,Hit,Correct rejection
183,HBG491.JPG,[4],6.013,Miss,Correct rejection,Correct rejection,Hit
184,HBY175.JPG,"[1, 3, 4]",3.523,Hit,Miss,Hit,False alarm
185,HBG74.JPG,"[1, 2, 4]",10.838,Hit,Hit,Correct rejection,False alarm
186,HBY29.JPG,"[1, 2, 3, 4]",3.522,Hit,Hit,False alarm,False alarm
187,HBY154.JPG,"[1, 4]",4.014,Hit,Miss,Miss,Hit
188,HBG446.JPG,"[2, 3, 4]",6.320,Miss,Hit,Hit,Hit
189,HBY108.JPG,"[1, 2, 4]",9.527,Hit,False alarm,Correct rejection,Hit
190,HBG216.JPG,"[1, 3, 4]",3.117,Hit,Miss,Hit,Hit
191,HBY4.JPG,"[1, 2, 3]",4.221,Hit,Hit,False alarm,Correct rejection
192,HBG66.JPG,"[2, 3, 4]",4.318,Correct rejection,Hit,Hit,Hit
193,HBY171.JPG,"[3, 4]",2.912,Correct rejection,Correct rejection,Hit,False alarm
194,HBY57.JPG,"[3, 4]",10.333,Miss,Miss,Hit,Hit
195,HBY55.JPG,"[1, 4]",3.714,False alarm,Miss,Miss,False alarm
196,HBY176.JPG,"[1, 2, 3, 4]",3.418,Hit,Hit,Hit,Hit
197,HBY34.JPG,"[1, 2, 3, 4]",2.922,Hit,Hit,Hit,False alarm
198,HBR5.JPG,"[1, 2, 3, 4]",5.725,Hit,Hit,Hit,Hit
199,HBY145.JPG,"[1, 2, 3]",3.215,Hit,Hit,Hit,Correct rejection
